	direccion	latitude	longitude
2	Avenida Pedro Goyena 1500, Caballito	-34.6279059	-58.4482089
3	Marcelo T De Alvear 2000, Barrio Norte	-34.5974149	-58.3959289
4	Juncal 3600, Palermo	-34.5836041	-58.4133821
5	Terrada 1700, Villa Pueyrredón	-34.5784382	-58.5075246
6	Av. Corrientes 1600, Centro / Microcentro	-27.4404327	-58.9932758
7	Coronel Bartolomé Pizarro 6000, Mataderos	-34.6560015	-58.5509937
8	Av Jujuy 500, Balvanera	-34.6157159	-58.4044829
9	Larrea 1200, Barrio Norte	-34.5938919	-58.4008472
0	Avenida Luis María Campos 1400, Belgrano	-34.5638462	-58.4426143
1	Olazábal 2200, Belgrano	-34.5590526	-58.4561986
2	Olleros 1800, Belgrano	-34.5619601	-58.434902
3	La Pampa 800, Belgrano	-34.5549609	-58.4373932
4	Av. Pueyrredón 2300, Recoleta	-34.5869937	-58.3964618
5	Fray Cayetano Rodríguez 300, Flores	-34.6264874	-58.4637242
6	Montevideo 1200, Recoleta	-34.5952454	-58.3900869
7	Junin 1400, Barrio Norte	-34.5918919	-58.3961799
8	José Mármol 800, Caballito	-34.6232761	-58.42482399999999
9	Terrada 900, Flores	-34.6219289	-58.4721629
0	Av Del Libertador 400, Barrio Norte	-34.5864681	-58.3864021
1	Av. Libertador 6800, Nuñez	-34.5495516	-58.45414619999999
2	Montevideo 700, Barrio Norte	-34.6009344	-58.3896734
3	Avenida Cordoba 1800, Barrio Norte	-34.5997917	-58.3926941
4	Santa Fe Av. 1800, Recoleta	-34.5958922	-58.39329040000001
5	Cnel. Apolinario Figueroa 600, Caballito	0	0
6	Avenida San Juan 3700, Boedo	-34.6257569	-58.4174979
7	Uriburu 1100, Recoleta	-34.5955759	-58.3987029
8	Avenida Caseros 700, San Telmo	-34.6268245	-58.3748225
9	Avenida Congreso 5100, Villa Urquiza	-34.5698509	-58.4900509
0	Delgado 500, Colegiales	-34.5804459	-58.4495509
1	Juramento 3100, Belgrano	-34.566202	-58.4633693
2	Perú 600, San Telmo	-34.6196567	-58.3742997
3	Av. Rivadavia 2500, Balvanera	-34.610012	-58.40166
4	Avalos 2100, Villa Urquiza	-34.5774539	-58.4837569
5	Cramer 2900, Nuñez	-34.5551862	-58.469658
6	Sarmiento 1500, Centro / Microcentro	-27.4317989	-58.9651
7	Avenida Belgrano 3600, Boedo	-24.1995857	-65.3012795
8	Bruselas 500, Versalles	-34.6282955	-58.522872
9	Rodriguez Peña 1800, Recoleta	-34.5898239	-58.3860522
0	Holmberg 2600, Villa Urquiza	-34.5681802	-58.4780318
1	Díaz Colodrero 2600, Villa Urquiza	-34.5723931	-58.4867222
2	Charcas 2500, Barrio Norte	-34.5947636	-58.4051275
3	Avenida Juan B Justo 2200, Villa Crespo	-34.5923168	-58.4406432
4	Avenida Olazábal 5500, Villa Urquiza	-34.5792499	-58.4904159
